% ID	Name	Contact	Title	Address	City	Region	PostalCode	Country	Phone	Fax	Lon	Lat
EASTC	Eastern Connection	Ann Devon	Sales Agent	35 King George	London		WX3 6FW	UK	(171) 555-0297	(171) 555-3373	-0.009019	51.47602
ERNSH	Ernst Handel	Roland Mendel	Sales Manager	Kirchgasse 6	Graz		8010	Austria	7675-3425	7675-3426	15.490906	47.10714
FAMIA	Familia Arquibaldo	Aria Cruz	Marketing Assistant	Rua Orós, 92	Sao Paulo	SP	05442-030	Brazil	(11) 555-9857		-46.638818	-23.548943
FISSA	FISSA Fabrica Inter. Salchichas S.A.	Diego Roel	Accounting Manager	C/ Moralzarzal, 86	Madrid		28034	Spain	(91) 555 94 44	(91) 555 55 93	-3.712458	40.49392
FOLIG	Folies gourmandes	Martine Rancé	Assistant Sales Agent	184, chaussée de Tournai	Lille		59000	France	20.16.10.16	20.16.10.17	3.366109	50.604983
FOLKO	Folk och fä HB	Maria Larsson	Owner	Åkergatan 24	Bräcke		S-844 67	Sweden	0695-34 67 21		18.643501	60.128161
FRANK	Frankenversand	Peter Franken	Marketing Manager	Berliner Platz 43	München		80805	Germany	089-0877310	089-0877451	11.587938	48.173086
FRANR	France restauration	Carine Schmitt	Marketing Manager	54, rue Royale	Nantes		44000	France	40.32.21.21	40.32.21.20	-1.557884	47.214367
FRANS	Franchi S.p.A.	Paolo Accorti	Sales Representative	Via Monte Bianco 34	Torino		10100	Italy	011-4988260	011-4988261	7.754766	45.093343
FURIB	Furia Bacalhau e Frutos do Mar	Lino Rodriguez	Sales Manager	Jardim das rosas n. 32	Lisboa		1675	Portugal	(1) 354-2534	(1) 354-2535	-9.199616	38.76396
GALED	Galería del gastrónomo	Eduardo Saavedra	Marketing Manager	Rambla de Cataluña, 23	Barcelona		8022	Spain	(93) 203 4560	(93) 203 4561	2.166288	41.388837
GODOS	Godos Cocina Típica	José Pedro Freyre	Sales Manager	C/ Romero, 33	Sevilla		41101	Spain	(95) 555 82 82		-5.95995	37.398338
GOURL	Gourmet Lanchonetes	André Fonseca	Sales Associate	Av. Brasil, 442	Campinas	SP	04876-786	Brazil	(11) 555-9482		-47.063406	-22.890716
GREAL	Great Lakes Food Market	Howard Snyder	Marketing Manager	2732 Baker Blvd.	Eugene	OR	97403	USA	(503) 555-7555		-123.072893	44.028521
GROSR	GROSELLA-Restaurante	Manuel Pereira	Owner	5ª Ave. Los Palos Grandes	Caracas	DF	1081	Venezuela	(2) 283-2951	(2) 283-3397	-66.844647	10.496538
HANAR	Hanari Carnes	Mario Pontes	Accounting Manager	Rua do Paço, 67	Rio de Janeiro	RJ	05454-876	Brazil	(21) 555-0091	(21) 555-8765	-43.189906	-22.980983
HILAA	HILARION-Abastos	Carlos Hernández	Sales Representative	Carrera 22 con Ave. Carlos Soublette #8-35	San Cristóbal	Táchira	5022	Venezuela	(5) 555-1340	(5) 555-1948	-72.226061	7.764951
HUNGC	Hungry Coyote Import Store	Yoshi Latimer	Sales Representative	City Center Plaza 516 Main St.	Elgin	OR	97827	USA	(503) 555-6874	(503) 555-2376	-118.342679	46.07096
HUNGO	Hungry Owl All-Night Grocers	Patricia McKenna	Sales Associate	8 Johnstown Road	Cork	Co. Cork		Ireland	2967 542	2967 3333	-8.322391	51.912454
ISLAT	Island Trading	Helen Bennett	Marketing Manager	Garden House Crowther Way	Cowes	Isle of Wight	PO31 7PJ	UK	(198) 555-8888		-1.300533	50.762785
KOENE	Königlich Essen	Philip Cramer	Sales Associate	Maubelstr. 90	Brandenburg		14776	Germany	0555-09876		13.13424	52.56165
LACOR	La corne d'abondance	Daniel Tonini	Sales Representative	67, avenue de l'Europe	Versailles		78000	France	30.59.84.10	30.59.85.11	2.130341	48.803303
LAMAI	La maison d'Asie	Annette Roulet	Sales Manager	1 rue Alsace-Lorraine	Toulouse		31000	France	61.77.61.10	61.77.61.11	1.445676	43.600521
LAUGB	Laughing Bacchus Wine Cellars	Yoshi Tannamuri	Marketing Assistant	1900 Oak St.	Vancouver	BC	V3F 2K1	Canada	(604) 555-3392	(604) 555-7293	-123.126484	49.265989
LAZYK	Lazy K Kountry Store	John Steel	Marketing Manager	12 Orchestra Terrace	Walla Walla	WA	99362	USA	(509) 555-7969	(509) 555-6221	-118.343021	46.064581
LEHMS	Lehmanns Marktstand	Renate Messner	Sales Representative	Magazinweg 7	Frankfurt a.M.		60528	Germany	069-0245984	069-0245874	8.682127	50.110922
LETSS	Let's Stop N Shop	Jaime Yorres	Owner	87 Polk St. Suite 5	San Francisco	CA	94117	USA	(415) 555-5938		-122.41806	37.777432
LILAS	LILA-Supermercado	Carlos González	Accounting Manager	Carrera 52 con Ave. Bolívar #65-98 Llano Largo	Barquisimeto	Lara	3508	Venezuela	(9) 331-6954	(9) 331-7256	-69.334722	10.063611
LINOD	LINO-Delicateses	Felipe Izquierdo	Owner	Ave. 5 de Mayo Porlamar	I. de Margarita	Nueva Esparta	4980	Venezuela	(8) 34-56-12	(8) 34-93-93	-63.835444	10.978364
LONEP	Lonesome Pine Restaurant	Fran Wilson	Sales Manager	89 Chiaroscuro Rd.	Portland	OR	97219	USA	(503) 555-9573	(503) 555-9646	-122.676207	45.523452
MAGAA	Magazzini Alimentari Riuniti	Giovanni Rovelli	Marketing Manager	Via Ludovico il Moro 22	Bergamo		24100	Italy	035-640230	035-640231	9.154038	45.447169
MAISD	Maison Dewey	Catherine Dewey	Sales Agent	Rue Joseph-Bens 532	Bruxelles		B-1180	Belgium	(02) 201 24 67	(02) 201 24 68	4.332629	50.806853
MEREP	Mère Paillarde	Jean Fresnière	Marketing Assistant	43 rue St. Laurent	Montréal	Québec	H1J 1C3	Canada	(514) 555-8054	(514) 555-8055	-73.571341	45.513478
MORGK	Morgenstern Gesundkost	Alexander Feuer	Marketing Assistant	Heerstr. 22	Leipzig		4179	Germany	0342-023176		13.18166	51.17111
NORTS	North/South	Simon Crowther	Sales Associate	South House 300 Queensbridge	London		SW7 1RZ	UK	(171) 555-7733	(171) 555-2530	-0.069951	51.542355
OCEAN	Océano Atlántico Ltda.	Yvonne Moncada	Sales Agent	Ing. Gustavo Moncada 8585 Piso 20-A	Buenos Aires		1010	Argentina	(1) 135-5333	(1) 135-5535	-58.373161	-34.608418
OLDWO	Old World Delicatessen	Rene Phillips	Sales Representative	2743 Bering St.	Anchorage	AK	99508	USA	(907) 555-7584	(907) 555-2880	-149.895975	61.195284
OTTIK	Ottilies Käseladen	Henriette Pfalzheim	Owner	Mehrheimerstr. 369	Köln		50739	Germany	0221-0644327	0221-0765721	6.920449	50.958087
PARIS	Paris spécialités	Marie Bertrand	Owner	265, boulevard Charonne	Paris		75012	France	(1) 42.34.22.66	(1) 42.34.22.77	2.394536	48.856661
PERIC	Pericles Comidas clásicas	Guillermo Fernández	Sales Representative	Calle Dr. Jorge Cash 321	México D.F.		5033	Mexico	(5) 552-3745	(5) 545-3745	-99.133208	19.432608
PICCO	Piccolo und mehr	Georg Pipps	Sales Manager	Geislweg 14	Salzburg		5020	Austria	6562-9722	6562-9723	13.05501	47.80949
PRINI	Princesa Isabel Vinhos	Isabel de Castro	Sales Representative	Estrada da saúde n. 58	Lisboa		1756	Portugal	(1) 356-5634		-9.135632	38.706932
